id,name,genres
1G9G7WwrXka3Z1r7aIDjI7,Outkast,"['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop']"
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
4lxfqrEsLX6N1N4OCSkILp,Phil Collins,"['rock drums', 'soft rock']"
3dRfiJ2650SZu6GbydcHNb,John Williams,"['orchestral soundtrack', 'soundtrack']"
7An4yvF7hDYDolN4m5zKBp,Soda Stereo,"['argentine rock', 'latin alternative', 'latin rock', 'post-punk argentina', 'rock en espanol', 'ska argentino']"
20qISvAhX20dpIbOOzGK3q,Nas,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,"['latin pop', 'puerto rican pop']"
5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,"['boy band', 'dance pop', 'pop']"
0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,"['gruperas inmortales', 'musica mexicana', 'nu-cumbia', 'ranchera', 'tropical']"
2qxJFvFYMEDqd7ui6kSAcq,Zedd,"['complextro', 'edm', 'german techno', 'pop', 'pop dance']"
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"['adult standards', 'lounge', 'soul', 'swing', 'vocal jazz']"
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,"['dutch trance', 'edm', 'pop dance', 'progressive house', 'trance']"
5gCRApTajqwbnHHPbr2Fpi,Juicy J,"['crunk', 'memphis hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
2QWIScpFDNxmS6ZEMIUvgm,Julieta Venegas,"['cantautora mexicana', 'latin alternative', 'latin pop', 'latin rock', 'rock en espanol']"
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']"
5lpH0xAS4fVfLkACg9DAuM,Wham!,"['new romantic', 'new wave pop', 'soft rock']"
4mN0qcMxWX8oToqfDPM5yV,José José,"['bolero', 'cancion melodica', 'ranchera']"
3hYtANQYrE6pd2PbtEyTIy,Los Tigres Del Norte,"['banda', 'musica mexicana', 'norteno', 'ranchera']"
